INFO 2026-01-29 11:14:29,641 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:14:39,682 autoreload /Users/dovudbek/Documents/hack/ai-hackaton/config/settings.py changed, reloading.
INFO 2026-01-29 11:14:39,914 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:14:42,020 autoreload /Users/dovudbek/Documents/hack/ai-hackaton/config/settings.py changed, reloading.
INFO 2026-01-29 11:14:46,588 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:15:09,044 autoreload /Users/dovudbek/Documents/hack/ai-hackaton/config/settings.py changed, reloading.
INFO 2026-01-29 11:15:44,985 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:15:50,185 autoreload /Users/dovudbek/Documents/hack/ai-hackaton/config/settings.py changed, reloading.
INFO 2026-01-29 11:15:53,847 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:16:13,265 autoreload /Users/dovudbek/Documents/hack/ai-hackaton/config/settings.py changed, reloading.
INFO 2026-01-29 11:16:17,031 autoreload Watching for file changes with StatReloader
INFO 2026-01-29 11:16:18,009 log "GET / HTTP/1.1" 200 13737
INFO 2026-01-29 11:16:18,070 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:16:18,071 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:16:18,072 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:16:18,075 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
WARNING 2026-01-29 11:16:19,332 log Not Found: /favicon.ico
WARNING 2026-01-29 11:16:19,332 log "GET /favicon.ico HTTP/1.1" 404 4286
INFO 2026-01-29 11:16:38,939 log "GET / HTTP/1.1" 200 13738
INFO 2026-01-29 11:16:41,256 log "GET /register/ HTTP/1.1" 200 9202
INFO 2026-01-29 11:16:55,791 log "GET / HTTP/1.1" 200 13738
INFO 2026-01-29 11:16:55,800 log "GET /static/hackathon/css/style.css HTTP/1.1" 304 0
INFO 2026-01-29 11:16:55,803 log "GET /static/hackathon/css/animations.css HTTP/1.1" 304 0
INFO 2026-01-29 11:16:55,804 log "GET /static/hackathon/js/app.js HTTP/1.1" 304 0
INFO 2026-01-29 11:16:55,804 log "GET /static/hackathon/js/animations.js HTTP/1.1" 304 0
INFO 2026-01-29 11:16:56,853 log "GET / HTTP/1.1" 200 13591
INFO 2026-01-29 11:16:57,805 log "GET / HTTP/1.1" 200 13591
INFO 2026-01-29 11:16:59,312 log "GET / HTTP/1.1" 200 13591
INFO 2026-01-29 11:16:59,334 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:16:59,335 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:16:59,336 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:16:59,338 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
WARNING 2026-01-29 11:17:00,580 log Not Found: /favicon.ico
WARNING 2026-01-29 11:17:00,580 log "GET /favicon.ico HTTP/1.1" 404 4286
INFO 2026-01-29 11:17:01,931 log "GET / HTTP/1.1" 200 13591
WARNING 2026-01-29 11:17:04,857 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:17:04,857 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:17:33,812 log "GET / HTTP/1.1" 200 12798
WARNING 2026-01-29 11:17:33,845 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:17:33,846 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:17:33,850 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:17:33,851 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:17:33,852 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:17:33,855 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:17:38,226 log "GET / HTTP/1.1" 200 13738
WARNING 2026-01-29 11:17:38,251 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:17:38,251 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:17:38,257 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:17:38,257 log "GET /static/hackathon/js/app.js HTTP/1.1" 200 5779
INFO 2026-01-29 11:17:38,257 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
INFO 2026-01-29 11:17:38,265 log "GET /static/hackathon/js/animations.js HTTP/1.1" 200 2232
INFO 2026-01-29 11:17:43,179 log "GET /register/ HTTP/1.1" 200 9202
WARNING 2026-01-29 11:17:43,207 log Not Found: /.well-known/appspecific/com.chrome.devtools.json
WARNING 2026-01-29 11:17:43,209 log "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 4397
INFO 2026-01-29 11:17:43,209 log "GET /static/hackathon/css/style.css HTTP/1.1" 200 1381
INFO 2026-01-29 11:17:43,210 log "GET /static/hackathon/css/animations.css HTTP/1.1" 200 6927
